18;538;0;689 1
538;0;689;2 1
0;689;2;1301 1
689;2;1301;810 1
2;1301;810;1 2
1301;810;1;2203 1
1;137;1111;2 1
2027;2;1824;6 1
2;1824;6;4 1
1824;6;4;280 1
16;0;387;2 1
0;387;2;30 1
805;2;2233;129 1
2;2233;129;41 1
129;1365;4;2013 1
1365;4;2013;1 1
0;97;2344;8 1
129;41;192;51 1
41;192;51;41 1
192;51;41;897 1
51;41;897;3 1
41;897;3;506 1
897;3;506;5 1
3;506;5;645 1
506;5;645;183 1
5;645;183;78 1
866;538;0;2163 1
1;667;2;705 1
667;2;705;2 1
2;705;2;123 1
2745;2;2571;848 1
2;2571;848;4 1
2571;848;4;0 1
150;4;125;906 1
4;125;906;14 1
568;70;5;180 1
70;5;180;1 1
5;180;1;435 1
180;1;435;340 1
1;435;340;2 1
1196;2189;2;0 1
2189;2;0;1406 1
2;0;1406;27 1
0;1406;27;953 1
1406;27;953;4 1
1211;1;59;0 1
1;59;0;1920 1
59;0;1920;2 2
0;1920;2;0 3
8;187;117;4 1
187;117;4;156 1
117;4;156;3 1
4;156;3;2548 1
152;866;1180;392 1
11;24;0;1110 1
24;0;1110;2 1
0;1110;2;50 1
108;17;352;4 1
17;352;4;695 2
352;4;695;3 3
4;695;3;0 32
695;3;0;643 1
3;0;643;2 5
152;301;4;50 1
695;29;76;17 1
29;76;17;1955 1
76;17;1955;14 1
17;1955;14;5 2
1955;14;5;299 1
97;689;301;2 1
1850;10;3;0 1
0;950;2;0 10
224;15;178;15 1
15;178;15;0 4
178;15;0;97 1
15;0;97;1958 1
0;97;1958;604 1
97;1958;604;2 1
152;301;6;28 1
1211;848;3;0 1
848;3;0;431 1
3;0;431;2 7
0;2368;2;0 1
2368;2;0;126 1
2;0;126;493 1
2529;852;593;273 1
852;593;273;236 1
3;224;0;843 1
224;0;843;689 1
0;843;689;301 1
843;689;301;2 1
16;0;1245;2 6
0;1245;2;0 20
23;892;5;214 1
892;5;214;784 1
5;214;784;2 1
214;784;2;1385 1
784;2;1385;3 1
0;1132;2362;2 1
1132;2362;2;152 1
2362;2;152;273 1
2;152;273;130 1
0;124;732;1 1
1;0;124;898 1
0;124;898;732 1
124;898;732;4 1
898;732;4;0 1
130;18;515;19 2
18;515;19;848 1
515;19;848;3 1
19;848;3;17 1
848;3;17;143 1
0;2178;2158;4 1
2178;2158;4;109 1
2158;4;109;1449 1
4;109;1449;1483 1
109;1449;1483;8 1
1449;1483;8;2519 1
2252;16;53;1825 1
16;53;1825;77 1
732;3;301;8 1
3;301;8;372 1
301;8;372;946 1
8;372;946;31 1
372;946;31;13 1
946;31;13;19 1
31;13;19;1940 1
13;19;1940;0 1
19;1940;0;1301 1
1940;0;1301;810 1
0;1301;810;29 1
1301;810;29;27 1
810;29;27;13 1
29;27;13;988 1
27;13;988;4 1
13;988;4;20 1
301;1;1108;40 1
1;1108;40;327 1
1108;40;327;38 1
40;327;38;88 1
327;38;88;0 1
38;88;0;1198 1
88;0;1198;5 1
0;1198;5;767 1
1198;5;767;2 1
637;671;29;23 1
671;29;23;184 1
183;0;63;637 1
0;63;637;363 1
63;637;363;2 1
637;363;2;0 1
363;2;0;97 1
4;649;1;1385 1
649;1;1385;8 1
1;1385;8;78 1
1385;8;78;2282 1
8;78;2282;15 1
2297;1902;2;10 1
1902;2;10;91 1
2;10;91;35 1
10;91;35;935 1
28;90;146;10 1
289;63;4;779 1
63;4;779;183 1
4;779;183;81 1
15;0;1934;2 1
0;1934;2;1143 1
1934;2;1143;19 1
18;13;719;236 1
13;719;236;50 1
8;2350;45;62 1
6;2141;898;62 1
28;317;16;5 1
317;16;5;989 1
896;439;4;779 1
439;4;779;6 1
8;5;1974;2 2
5;1974;2;65 2
8;317;2491;1 1
317;2491;1;1283 1
13;65;82;210 1
5;972;857;2 1
972;857;2;0 1
1;5;299;1160 1
5;299;1160;2 1
2;223;45;62 1
223;45;62;5 1
45;62;5;1896 1
217;0;2239;2 1
0;2239;2;0 1
30;895;22;152 1
895;22;152;452 1
22;152;452;26 1
152;452;26;56 1
452;26;56;2 1
26;56;2;487 3
56;2;487;3 7
2;487;3;25 4
23;0;671;2 1
2;0;376;1 1
0;376;1;206 1
297;22;270;618 1
22;270;618;2490 1
270;618;2490;20 1
618;2490;20;25 1
2490;20;25;637 1
363;23;70;671 1
23;70;671;19 1
0;1865;1186;0 1
1865;1186;0;1381 1
1186;0;1381;20 1
0;1381;20;0 2
23;719;42;0 2
719;42;0;1101 2
2;452;29;371 1
452;29;371;4 1
29;371;4;189 1
371;4;189;152 1
383;4;118;773 1
0;498;4;118 1
498;4;118;773 1
4;118;773;8 1
118;773;8;0 1
61;298;2095;1 1
298;2095;1;191 1
2095;1;191;4 1
1;191;4;245 1
191;4;245;4 1
4;245;4;118 1
29;23;1275;4 1
23;1275;4;0 1
0;167;2;0 11
8;10;2;0 6
306;13;0;1146 1
13;0;1146;1510 1
0;1146;1510;377 1
1146;1510;377;14 1
152;1108;6;935 1
1108;6;935;1972 1
6;935;1972;14 1
6;18;92;435 1
18;92;435;147 1
92;435;147;3 1
435;147;3;0 1
23;0;671;19 1
0;671;19;2115 1
80;0;2573;321 1
0;2573;321;124 1
2573;321;124;290 1
321;124;290;2 1
124;290;2;301 1
290;2;301;1 1
301;478;5;2383 1
478;5;2383;125 1
5;2383;125;2 1
6;2674;866;935 1
2674;866;935;261 1
27;1855;4;1293 1
1855;4;1293;8 1
363;2;0;126 1
15;18;6;8 1
18;6;8;512 1
6;8;512;1 1
2;0;1127;1 1
6;109;430;4 1
109;430;4;1854 1
3;17;2106;3 1
40;23;8;91 1
23;8;91;3 1
8;91;3;370 1
91;3;370;64 1
3;370;64;1 1
1;1427;116;31 1
1427;116;31;46 1
25;1213;3;298 1
1213;3;298;10 1
3;298;10;2752 1
298;10;2752;0 1
10;2752;0;847 1
2752;0;847;1 1
0;847;1;0 1
15;0;927;167 1
0;927;167;2 2
927;167;2;0 1
39;670;14;213 1
670;14;213;2 1
552;23;130;4 1
23;130;4;179 1
130;4;179;773 1
4;179;773;3 1
179;773;3;1370 1
773;3;1370;0 1
3;1370;0;235 1
1370;0;235;201 1
0;235;201;0 1
235;201;0;2305 1
201;0;2305;2 1
0;2305;2;1491 1
23;475;4;0 1
475;4;0;986 1
4;0;986;100 1
0;986;100;552 1
986;100;552;23 1
194;151;205;0 1
151;205;0;127 1
205;0;127;1 1
0;127;1;257 1
127;1;257;2 1
1;257;2;0 3
217;0;2502;8 1
2;30;1467;500 1
30;1467;500;2 1
1467;500;2;876 1
500;2;876;575 1
2;876;575;8 1
1;0;1127;2 1
2531;3;0;294 1
3;0;294;1853 1
0;294;1853;2 1
294;1853;2;0 1
24;195;0;86 1
76;437;67;0 1
437;67;0;1520 1
67;0;1520;2 1
0;1520;2;993 1
443;3;0;1346 1
3;0;1346;10 14
0;1346;10;40 1
1346;10;40;6 1
10;40;6;158 5
40;6;158;4 2
1447;2;1263;1 1
195;313;1431;62 1
313;1431;62;0 1
1431;62;0;87 1
62;0;87;4 1
0;87;4;0 4
87;4;0;612 1
4;0;612;2 5
1;25;1521;625 1
25;1521;625;4 1
1521;625;4;270 1
625;4;270;1875 1
4;270;1875;11 1
270;1875;11;1507 1
1875;11;1507;4 1
11;1507;4;124 1
1507;4;124;5 1
4;124;5;799 1
124;5;799;77 1
5;799;77;0 1
3;123;1316;217 1
123;1316;217;0 1
31;2308;123;2334 1
2308;123;2334;8 1
123;2334;8;0 1
2300;947;1;1269 1
947;1;1269;14 1
0;1394;962;5 1
1394;962;5;1156 1
962;5;1156;2 1
5;1156;2;294 1
13;37;32;2 5
37;32;2;0 6
16;277;4;0 1
478;0;54;1102 1
0;54;1102;8 1
54;1102;8;61 1
1102;8;61;1315 1
8;61;1315;3 1
3;404;2;0 1
1;714;769;22 1
714;769;22;1863 1
391;4;0;1123 1
4;0;1123;2 1
0;1123;2;372 1
1123;2;372;1886 1
2;372;1886;1 1
372;1886;1;4 1
1886;1;4;0 1
1;4;0;1349 1
4;0;1349;2 26
0;1349;2;206 1
47;178;2;29 1
178;2;29;6 1
2;29;6;1298 1
29;6;1298;8 1
6;1298;8;0 1
1298;8;0;695 1
8;0;695;215 1
0;695;215;248 1
695;215;248;1 1
904;86;2;0 1
86;2;0;2346 1
2;0;2346;4 1
0;2346;4;0 1
302;2;0;1512 1
2;0;1512;0 1
0;552;2;0 2
552;2;0;574 1
2;0;574;3 1
1;4;26;2 1
4;26;2;44 2
26;2;44;40 1
2;44;40;6 1
44;40;6;5 1
40;6;5;317 1
6;5;317;931 1
5;317;931;2 1
29;998;4;91 1
998;4;91;5 1
4;91;5;2530 1
91;5;2530;2 1
5;2530;2;248 1
2530;2;248;1 1
2;248;1;497 2
248;1;497;1 1
1;497;1;396 1
497;1;396;2 1
498;2;248;1 2
467;1;2403;23 1
1;2403;23;1445 1
2403;23;1445;14 1
1497;14;1253;1453 1
14;1253;1453;22 1
1;0;2494;248 1
0;2494;248;289 1
2494;248;289;24 1
22;0;1106;2 2
0;1106;2;0 1
31;1978;1;1269 1
23;16;63;582 1
16;63;582;59 1
63;582;59;872 1
23;27;1457;3 1
27;1457;3;0 1
28;49;204;27 1
49;204;27;23 2
204;27;23;195 1
14;503;1;1227 1
503;1;1227;14 1
1;1227;14;1253 1
1227;14;1253;4 1
14;1253;4;0 1
71;10;493;401 1
10;493;401;539 1
493;401;539;59 1
401;539;59;0 1
539;59;0;574 1
59;0;574;4 1
2;0;280;10 16
0;280;10;0 36
280;10;0;888 2
10;0;888;2 2
0;888;2;0 4
18;6;1527;354 1
6;1527;354;4 1
0;1332;2;0 1
30;895;26;56 2
895;26;56;2 2
1216;698;3;2224 1
698;3;2224;0 1
3;2224;0;196 1
2224;0;196;2 1
0;196;2;0 10
6;1227;14;0 1
272;1;0;303 1
1;0;303;1102 1
0;303;1102;185 1
303;1102;185;56 1
1102;185;56;3 1
185;56;3;0 1
23;708;14;0 1
1;50;467;1 1
50;467;1;765 1
467;1;765;23 1
1;765;23;371 1
765;23;371;1333 1
23;371;1333;14 1
371;1333;14;1312 1
1333;14;1312;2 1
50;682;2;196 1
682;2;196;4 2
2;196;4;0 3
18;46;651;50 1
3;0;574;1 2
0;574;1;47 1
3;53;900;0 2
53;900;0;446 1
900;0;446;257 1
0;446;257;10 1
446;257;10;6 1
257;10;6;317 1
10;6;317;38 1
6;317;38;4 1
653;13;5;206 1
13;5;206;1156 1
5;206;1156;3 1
206;1156;3;509 1
1156;3;509;495 1
3;509;495;15 1
509;495;15;4 1
36;280;65;0 1
280;65;0;530 1
65;0;530;2 1
0;530;2;0 57
0;895;2;0 9
19;25;1939;27 1
25;1939;27;1270 1
1939;27;1270;3 1
27;1270;3;2289 1
1270;3;2289;4 1
3;2289;4;863 1
2289;4;863;0 1
4;863;0;819 1
863;0;819;2 1
0;819;2;25 1
819;2;25;1137 1
2;25;1137;205 1
258;1472;4;0 1
1472;4;0;1991 1
0;354;467;130 1
354;467;130;19 1
467;130;19;1442 1
0;126;46;24 3
126;46;24;17 3
46;24;17;33 3
24;17;33;2 3
13;2108;103;26 1
1;354;5;466 1
354;5;466;1 1
5;466;1;446 2
95;27;83;3 1
16;63;0;1224 1
63;0;1224;2 1
184;71;25;716 2
71;25;716;4 3
2;645;8;0 1
212;439;5;466 1
0;1961;778;2429 1
1961;778;2429;0 1
70;737;0;1438 1
737;0;1438;4 1
0;1438;4;0 2
1438;4;0;439 1
645;2;248;1 2
2;248;1;272 1
248;1;272;6 1
1;272;6;537 1
2;467;1;167 1
467;1;167;1445 1
1;167;1445;14 1
167;1445;14;503 1
1445;14;503;1 1
28;36;870;19 1
36;870;19;372 1
2632;67;25;1889 1
67;25;1889;1 1
25;1889;1;25 1
540;0;768;19 1
0;768;19;0 1
768;19;0;235 1
19;0;235;3 1
105;197;210;1 1
2281;8;0;853 1
8;0;853;117 1
0;853;117;27 1
155;2;541;10 1
2;541;10;94 1
541;10;94;16 1
10;94;16;442 1
723;23;2254;2337 1
23;2254;2337;217 1
2254;2337;217;100 1
4;248;6;4 1
248;6;4;951 1
6;4;951;2 1
4;951;2;72 1
1218;0;793;13 1
0;793;13;400 1
793;13;400;3 1
811;3;43;5 1
3;43;5;2120 1
43;5;2120;2 1
5;2120;2;276 2
2120;2;276;1341 1
2;276;1341;34 1
276;1341;34;67 1
1341;34;67;5 1
331;155;9;6 1
155;9;6;143 1
9;6;143;42 2
6;143;42;623 1
143;42;623;1 1
32;6;597;3 1
1;82;2091;4 1
40;83;5;849 1
83;5;849;4 1
5;849;4;0 1
574;1;248;4 1
13;64;135;205 1
64;135;205;18 1
135;205;18;8 1
0;113;569;2 2
113;569;2;0 1
420;1907;880;864 1
1907;880;864;194 1
880;864;194;308 1
2;0;493;0 1
0;493;0;157 1
493;0;157;3 1
0;157;3;2742 2
157;3;2742;25 1
3;2742;25;101 1
2742;25;101;922 1
25;101;922;1 1
101;922;1;1842 1
922;1;1842;0 1
1;1842;0;196 1
1842;0;196;2 1
0;196;2;2324 1
196;2;2324;3 1
2;2324;3;0 1
0;351;2714;0 1
19;18;5;807 1
18;5;807;782 1
5;187;922;1 1
187;922;1;30 1
922;1;30;303 1
1;778;2;26 1
778;2;26;258 1
51;27;13;0 2
27;13;0;1869 1
13;0;1869;636 1
0;1869;636;2 1
23;2355;3;112 1
2355;3;112;125 1
3;112;125;4 15
36;619;4;0 1
619;4;0;496 2
4;0;496;2 12
0;496;2;0 11
6;561;75;4 1
1;10;700;6 1
10;700;6;143 1
700;6;143;42 1
6;143;42;424 1
143;42;424;8 1
6;0;1110;19 1
0;1110;19;0 1
10;2328;6;969 1
2328;6;969;545 1
6;969;545;4 1
59;0;2089;2 15
1355;4;404;2 1
6;354;4;0 2
396;3;100;31 1
475;50;2496;3 1
50;2496;3;26 1
1;2673;0;32 1
23;537;343;2725 1
537;343;2725;14 1
343;2725;14;931 1
2725;14;931;644 1
14;931;644;62 1
3;2181;61;32 1
2181;61;32;2 1
61;32;2;44 3
32;2;44;3 2
51;18;13;717 1
18;13;717;3 1
13;717;3;102 1
23;2058;1;892 1
2058;1;892;97 1
1;892;97;2070 1
892;97;2070;69 1
97;2070;69;32 1
2070;69;32;21 1
69;32;21;114 1
32;21;114;248 1
28;4;52;493 1
4;52;493;6 1
52;493;6;5 1
493;6;5;733 1
906;14;5;621 1
272;1;467;2 1
1;467;2;0 1
8;1913;1;206 1
13;52;2687;2 1
3;2666;44;3 1
2666;44;3;0 1
44;3;0;682 1
3;0;682;2 4
0;682;2;196 3
48;27;199;3 1
27;199;3;10 1
698;3;675;44 1
3;675;44;19 1
675;44;19;372 1
257;2;2373;29 2
2;2373;29;391 1
130;44;26;0 1
44;26;0;45 1
4;0;871;2 6
0;871;2;179 1
871;2;179;157 1
2;179;157;149 1
179;157;149;841 1
157;149;841;1453 1
149;841;1453;20 1
6;0;607;2 1
0;607;2;0 3
607;2;0;505 1
2;0;505;4 1
0;505;4;0 1
144;0;1086;2 1
776;6;892;0 1
6;892;0;32 1
892;0;32;1084 1
0;32;1084;2 1
32;1084;2;0 1
546;167;13;204 1
167;13;204;37 1
14;0;796;2441 1
0;796;2441;2 1
24;54;30;1469 1
54;30;1469;3 1
30;1469;3;258 1
28;70;5;1084 1
70;5;1084;2 1
0;2631;366;2 1
14;1172;1;183 1
1172;1;183;0 1
19;0;86;125 22
0;86;125;14 1
86;125;14;61 1
776;154;20;0 1
154;20;0;376 1
20;0;376;10 1
0;376;10;0 1
143;385;0;1172 1
385;0;1172;8 1
0;841;2;0 11
1843;205;25;2338 1
205;25;2338;2 1
25;2338;2;0 1
92;184;71;25 1
27;923;26;839 1
923;26;839;1 1
26;839;1;2354 1
839;1;2354;2 1
4;687;10;25 1
687;10;25;505 1
10;25;505;1 1
23;714;3;370 2
714;3;370;258 1
3;370;258;1908 1
370;258;1908;1 1
258;1908;1;242 1
1908;1;242;2023 1
1;242;2023;3 1
242;2023;3;0 1
2023;3;0;258 1
919;194;113;95 1
194;113;95;607 1
113;95;607;2 1
95;607;2;36 1
607;2;36;542 1
2;36;542;6 1
36;542;6;2465 1
542;6;2465;3 1
6;2465;3;17 4
1;890;6;130 1
890;6;130;19 5
6;130;19;270 1
130;19;270;1118 1
19;270;1118;69 1
270;1118;69;100 1
1118;69;100;24 1
69;100;24;714 1
100;24;714;16 1
24;714;16;602 1
714;16;602;46 1
16;602;46;804 1
602;46;804;2197 1
46;804;2197;4 1
804;2197;4;802 1
2197;4;802;1 1
607;6;24;1500 1
6;24;1500;8 1
24;1500;8;0 1
1500;8;0;126 1
28;0;97;383 1
0;97;383;6 1
97;383;6;1464 1
8;109;1118;260 1
109;1118;260;14 1
90;1929;3;0 1
1929;3;0;167 1
3;0;167;2 3
90;370;2;1352 1
714;3;370;1 2
2737;1;2550;2 1
1;2550;2;0 1
2550;2;0;338 1
2;0;338;646 1
0;338;646;164 1
338;646;164;25 1
646;164;25;505 1
164;25;505;0 1
40;11;1975;3 1
11;1975;3;374 1
1975;3;374;10 1
3;374;10;0 2
2;1917;183;0 1
6;514;989;2037 1
514;989;2037;26 1
989;2037;26;67 1
2037;26;67;0 1
692;42;0;942 1
42;0;942;2 1
0;942;2;913 1
942;2;913;15 1
2;913;15;193 1
913;15;193;15 1
15;193;15;372 1
23;1236;2302;3 1
1236;2302;3;675 1
6;1926;63;15 1
1926;63;15;5 1
63;15;5;1184 1
15;5;1184;3 1
5;1184;3;0 1
1;89;15;5 1
89;15;5;1105 1
15;5;1105;19 1
5;1105;19;0 1
1105;19;0;483 1
19;0;483;2 2
6;1497;14;0 1
913;135;3;0 1
15;25;784;2 1
25;784;2;1469 1
784;2;1469;1 1
22;30;2170;20 2
30;2170;20;0 1
16;0;643;2 1
0;643;2;258 1
2610;0;257;2 1
14;547;2292;22 1
547;2292;22;0 1
2292;22;0;1098 1
22;0;1098;2 2
0;1098;2;1489 1
1098;2;1489;3 1
2;1489;3;302 1
1489;3;302;258 1
387;10;12;1105 1
10;12;1105;60 1
12;1105;60;2247 1
1105;60;2247;243 1
60;2247;243;87 1
2247;243;87;3 1
243;87;3;554 1
87;3;554;4 1
3;554;4;270 1
554;4;270;1840 1
4;270;1840;15 1
270;1840;15;876 1
1840;15;876;2 1
15;876;2;0 1
876;2;0;235 1
2;0;235;1 4
15;23;81;2097 1
23;81;2097;2 1
812;607;6;14 1
607;6;14;52 1
6;14;52;630 2
857;185;25;483 1
185;25;483;3 1
4;0;602;6 1
116;45;857;40 1
45;857;40;23 1
857;40;23;2384 1
40;23;2384;505 1
23;2384;505;31 1
2384;505;31;327 1
505;31;327;38 1
31;327;38;4 2
327;38;4;0 3
38;4;0;214 1
4;0;214;152 1
0;214;152;769 1
214;152;769;2 1
1;31;2397;227 1
4;179;1327;2 1
179;1327;2;820 1
1327;2;820;1 1
8;0;483;2 1
4;823;3;72 2
823;3;72;30 1
11;5;825;799 1
5;825;799;2 1
1322;1860;4;0 1
1860;4;0;2264 1
4;0;2264;6 1
0;2264;6;629 1
2264;6;629;3 1
6;629;3;5 1
629;3;5;299 1
3;5;299;194 1
5;299;194;16 1
299;194;16;5 1
194;16;5;372 1
16;5;372;769 1
5;372;769;4 1
392;0;499;2 1
0;499;2;12 2
1;328;1881;2 1
328;1881;2;0 1
9;168;91;3 1
168;91;3;370 1
91;3;370;1396 1
3;370;1396;4 1
370;1396;4;1128 1
1396;4;1128;337 1
4;1128;337;1 1
1128;337;1;3 1
337;1;3;1963 1
2228;16;0;457 1
16;0;457;2 4
12;101;552;9 1
724;73;19;0 1
73;19;0;155 1
19;0;155;49 1
0;155;49;9 1
155;49;9;6 2
49;9;6;3 1
9;6;3;403 1
6;3;403;19 1
3;403;19;26 1
16;0;623;2 4
0;623;2;0 3
623;2;0;816 1
2;0;816;2 2
2747;14;0;126 1
23;168;26;68 1
168;26;68;152 1
444;413;214;230 1
413;214;230;4 1
214;230;4;0 1
230;4;0;2353 1
4;0;2353;2 1
0;2353;2;0 1
1331;42;5;272 1
42;5;272;14 1
5;272;14;270 1
14;0;775;1123 1
0;775;1123;2 1
775;1123;2;206 1
6;4;52;137 1
4;52;137;2121 2
6;5;348;2 5
5;348;2;1291 1
672;376;6;143 1
376;6;143;3 1
28;18;6;160 1
18;6;160;4 1
6;160;4;1995 1
160;4;1995;2 1
4;1995;2;30 1
1995;2;30;303 1
1;629;3;0 1
629;3;0;1181 1
3;0;1181;2 1
